Desc	Family	JU1373	NIC58	PX356	PX439	PX506	CLATE	CBRIG	CELEG	CINOP	CNIGO	CSINI
null	OG0007477	1	1	1	1	1	1	1	1	1	1	1
null	OG0007478	1	1	2	1	2	2	0	1	1	1	0
null	OG0007479	1	1	1	2	1	1	1	1	1	1	1
null	OG0007480	1	1	1	1	1	1	1	1	1	1	1
null	OG0007481	1	1	1	1	1	1	1	1	1	1	1
null	OG0007482	1	1	1	1	1	1	1	1	1	2	1
null	OG0007483	1	1	1	1	1	1	1	1	1	1	1
null	OG0007484	1	1	1	1	1	1	1	1	1	1	1
null	OG0007485	1	1	1	1	1	1	1	1	1	1	1
null	OG0007486	1	1	1	1	1	1	1	2	1	1	1
null	OG0007487	1	1	1	1	1	1	1	1	1	1	2
null	OG0007488	1	1	1	1	1	1	1	1	1	1	2
null	OG0007489	1	1	2	2	1	1	1	1	1	1	1
null	OG0007490	1	1	1	1	1	1	1	1	1	1	1
null	OG0007491	1	1	1	1	1	1	1	1	1	1	1
null	OG0007492	1	1	1	1	1	1	1	1	1	1	1
null	OG0007493	1	1	1	1	1	1	1	1	1	1	1
null	OG0007494	1	1	1	1	1	1	1	1	1	1	1
null	OG0007495	1	1	1	1	1	1	1	1	1	1	1
null	OG0007496	1	1	1	1	1	1	1	1	1	1	1
null	OG0007497	1	1	1	1	1	1	1	1	1	1	1
null	OG0007498	1	1	1	1	1	1	1	1	1	1	1
null	OG0007499	1	1	1	1	1	1	1	1	2	1	1
null	OG0007500	1	1	1	1	1	1	1	1	1	1	1
null	OG0007501	1	1	1	1	1	1	1	1	1	1	1
null	OG0007502	1	1	1	1	1	1	1	1	1	1	1
null	OG0007503	1	1	1	1	1	1	1	1	1	1	1
null	OG0007504	1	1	1	1	1	1	1	1	1	1	1
null	OG0007505	1	1	1	1	1	1	1	1	1	1	1
null	OG0007506	1	1	1	1	1	1	1	1	1	1	1
null	OG0007507	1	1	1	1	1	1	1	1	1	1	1
null	OG0007508	1	1	1	1	1	1	1	1	1	1	1
null	OG0007509	1	1	1	1	1	1	1	1	1	1	1
null	OG0007510	1	1	1	1	1	1	1	1	1	1	1
null	OG0007511	1	1	1	1	1	1	1	1	1	1	1
null	OG0007512	1	1	1	1	1	1	1	1	1	1	1
null	OG0007513	1	1	1	1	1	1	1	1	1	1	1
null	OG0007514	1	1	1	1	1	1	1	1	1	1	1
null	OG0007515	1	1	2	2	1	1	1	1	1	1	1
null	OG0007516	1	1	1	1	1	1	1	1	1	1	1
null	OG0007517	1	1	1	1	1	1	1	1	1	1	1
null	OG0007518	1	1	1	1	1	1	1	1	1	1	1
null	OG0007519	1	1	1	1	1	1	1	1	1	1	2
null	OG0007520	1	1	1	1	1	1	1	1	2	1	1
null	OG0007521	1	1	1	1	1	1	1	1	1	1	1
null	OG0007522	1	1	1	1	1	1	1	1	1	1	1
null	OG0007523	1	1	1	1	1	2	1	1	1	1	1
null	OG0007524	1	1	1	1	0	1	1	1	1	2	1
null	OG0007525	1	1	1	1	1	1	1	1	1	1	1
null	OG0007526	1	1	1	1	1	1	1	1	1	1	1
null	OG0007527	1	1	1	1	1	1	1	2	1	1	1
null	OG0007528	1	1	1	1	1	1	1	1	1	1	1
null	OG0007529	1	1	1	1	1	1	1	1	1	1	1
null	OG0007530	1	1	1	1	1	1	1	1	1	1	1
null	OG0007531	1	1	1	1	1	1	1	1	1	1	1
null	OG0007532	1	1	1	1	1	1	1	1	1	1	1
null	OG0007533	1	1	1	1	1	1	1	1	1	1	1
null	OG0007534	1	1	1	1	1	1	1	1	1	1	1
null	OG0007535	1	1	1	1	1	1	1	1	1	1	1
null	OG0007536	1	1	1	1	1	1	1	1	1	1	1
null	OG0007537	1	1	1	1	1	1	1	1	1	1	1
null	OG0007538	1	1	1	1	1	1	1	1	1	1	1
null	OG0007539	1	1	1	1	1	1	1	1	1	1	1
null	OG0007540	1	1	1	1	1	1	1	1	1	1	1
null	OG0007541	1	1	1	1	1	1	1	1	1	1	1
null	OG0007542	1	1	1	1	1	1	1	1	1	1	1
null	OG0007543	1	1	1	1	1	1	1	1	1	1	1
null	OG0007544	1	1	1	1	1	1	1	1	1	1	1
null	OG0007545	1	1	1	1	1	1	1	1	1	1	1
null	OG0007546	1	1	1	1	1	1	1	1	1	1	1
null	OG0007547	1	1	1	1	1	1	1	1	1	1	1
null	OG0007548	1	1	1	1	1	1	1	1	1	1	1
null	OG0007549	1	1	2	1	1	2	1	1	1	1	1
null	OG0007550	1	1	1	2	1	1	1	1	0	1	1
null	OG0007551	1	1	1	1	1	1	1	1	1	1	1
null	OG0007552	1	1	1	1	0	1	1	1	1	1	2
null	OG0007553	1	1	1	1	1	1	1	1	1	1	1
null	OG0007554	1	1	1	1	1	1	1	1	1	1	1
null	OG0007555	1	1	1	1	1	1	1	1	1	1	1
null	OG0007556	1	1	1	1	1	1	1	1	1	1	1
null	OG0007557	1	1	1	1	1	1	1	1	1	1	1
null	OG0007558	1	1	1	1	1	1	1	1	1	0	2
null	OG0007559	1	1	1	1	1	1	1	1	1	1	1
null	OG0007560	1	1	2	1	1	1	1	1	1	1	1
null	OG0007561	1	1	1	1	1	1	1	1	1	1	1
null	OG0007562	1	1	1	1	1	2	1	1	1	1	1
null	OG0007563	1	1	1	1	1	1	1	1	1	1	1
null	OG0007564	1	1	1	1	1	1	1	1	1	1	1
null	OG0007565	1	1	1	1	0	1	1	2	1	1	1
null	OG0007566	1	1	1	1	1	1	1	1	1	1	1
null	OG0007567	1	1	1	1	1	1	1	1	1	1	1
null	OG0007568	1	1	1	1	1	1	1	1	1	1	1
null	OG0007569	1	1	1	1	1	1	1	1	1	1	1
null	OG0007570	1	1	2	1	0	2	1	1	1	1	1
null	OG0007571	1	1	1	1	1	1	1	1	1	1	1
null	OG0007572	1	1	2	1	1	1	1	1	1	1	1
null	OG0007573	1	1	1	1	1	1	1	1	1	1	1
null	OG0007574	1	1	1	1	1	2	1	2	1	1	1
null	OG0007575	1	1	1	1	1	2	1	1	1	1	1
null	OG0007576	1	1	1	1	1	2	1	1	0	1	1
null	OG0007577	1	1	1	1	1	1	2	1	1	1	1
null	OG0007578	1	1	1	1	1	1	1	1	1	1	1
null	OG0007579	1	1	1	0	1	1	1	1	1	2	1
null	OG0007580	1	1	1	1	1	1	1	1	1	1	1
null	OG0007581	1	1	1	1	1	1	1	1	1	1	1
null	OG0007582	1	1	1	1	1	1	1	1	1	1	1
null	OG0007583	1	1	1	1	1	1	1	1	1	1	1
null	OG0007584	1	1	1	1	1	1	1	1	1	1	1
null	OG0007585	1	1	1	1	1	1	1	1	1	1	1
null	OG0007586	1	1	1	1	1	1	1	1	1	1	1
null	OG0007587	1	1	1	2	1	1	1	1	1	1	1
null	OG0007588	1	1	2	1	1	1	1	1	1	1	1
null	OG0007589	1	1	1	1	1	1	1	1	1	1	1
null	OG0007590	1	1	1	1	1	1	1	1	1	2	1
null	OG0007591	1	1	1	1	1	1	1	1	1	1	1
null	OG0007592	1	1	1	1	1	1	1	1	1	1	1
null	OG0007593	1	1	1	1	1	1	1	1	1	1	1
null	OG0007594	1	1	1	1	1	1	1	1	1	1	1
null	OG0007595	1	1	2	2	1	1	1	0	0	2	1
null	OG0007596	1	1	1	1	1	1	1	1	1	1	1
null	OG0007597	1	1	1	1	1	1	1	1	1	1	1
null	OG0007598	1	1	1	1	1	1	1	1	1	1	1
null	OG0007599	1	1	1	1	1	1	1	2	1	1	1
null	OG0007600	1	1	1	1	1	1	1	1	1	1	1
null	OG0007601	1	1	1	1	1	1	1	1	1	1	1
null	OG0007602	1	1	1	1	1	1	1	1	1	1	1
null	OG0007603	1	1	1	1	1	1	1	1	1	1	1
null	OG0007604	1	1	1	1	1	2	0	1	1	1	1
null	OG0007605	1	1	1	1	1	1	1	1	1	1	1
null	OG0007606	1	1	1	1	1	1	1	1	1	1	1
null	OG0007607	1	1	1	1	1	1	1	1	1	1	1
null	OG0007608	1	1	1	1	1	1	1	1	1	1	1
null	OG0007609	1	1	1	1	1	1	1	1	1	1	1
null	OG0007610	1	1	1	1	1	1	1	1	1	1	1
null	OG0007611	1	1	1	1	1	1	1	1	1	1	1
null	OG0007612	1	1	1	1	1	1	1	1	1	1	1
null	OG0007613	1	1	1	1	1	1	1	1	1	1	1
null	OG0007614	1	1	2	1	1	1	1	1	1	1	1
null	OG0007615	1	1	1	1	1	1	1	1	1	1	1
null	OG0007616	1	1	1	1	1	1	1	1	1	1	1
null	OG0007617	1	1	1	1	1	1	1	1	1	1	1
null	OG0007618	1	1	1	2	1	1	1	1	1	1	1
null	OG0007619	1	1	1	1	1	1	1	1	1	1	1
null	OG0007620	1	1	2	1	1	1	1	1	1	1	1
null	OG0007621	1	1	2	1	1	1	1	1	1	1	1
null	OG0007622	1	1	2	1	1	1	1	1	1	1	1
null	OG0007623	1	1	1	1	1	1	1	1	1	1	1
null	OG0007624	1	1	1	1	1	1	2	1	1	1	1
null	OG0007625	1	1	1	1	1	1	1	1	1	2	1
null	OG0007626	1	1	2	1	1	1	1	1	1	1	1
null	OG0007627	1	1	2	2	1	1	1	1	1	0	1
null	OG0007628	1	1	1	1	1	1	1	1	1	2	1
null	OG0007629	1	1	1	1	1	2	1	1	1	1	1
null	OG0007630	1	1	1	1	1	2	1	1	1	1	1
null	OG0007631	1	1	1	1	1	2	1	1	1	1	1
null	OG0007632	1	1	1	1	1	2	1	1	1	1	1
null	OG0007633	1	1	1	1	1	3	1	0	1	1	1
null	OG0007634	1	1	1	1	1	2	1	1	1	1	1
null	OG0007635	1	1	1	2	0	2	1	1	1	1	1
null	OG0007636	1	1	1	2	1	2	1	0	1	1	1
null	OG0007637	1	1	1	2	1	1	2	1	1	1	0
null	OG0007638	1	1	1	1	1	1	1	1	1	1	1
null	OG0007639	1	1	1	1	1	1	1	1	1	1	1
null	OG0007640	1	1	1	1	1	1	1	1	1	1	1
null	OG0007641	1	1	1	2	1	1	1	1	1	1	1
null	OG0007642	1	1	1	1	1	1	1	1	1	1	1
null	OG0007643	1	1	1	1	1	1	1	1	1	1	1
null	OG0007644	1	1	1	1	1	1	1	1	2	1	1
null	OG0007645	1	1	1	2	1	1	1	1	1	1	1
null	OG0007646	1	1	1	1	1	2	1	1	1	1	1
null	OG0007647	1	1	1	1	1	1	1	1	1	1	1
null	OG0007648	1	1	1	2	1	1	1	1	1	1	1
null	OG0007649	1	1	1	1	1	1	1	1	1	1	1
null	OG0007650	1	1	2	1	1	2	1	1	1	1	1
null	OG0007651	1	1	1	2	1	1	1	1	1	1	1
null	OG0007652	1	1	1	2	1	1	1	1	1	1	1
null	OG0007653	1	1	1	1	1	1	1	1	1	1	1
null	OG0007654	1	1	1	1	1	2	1	1	1	1	1
null	OG0007655	1	1	1	2	1	1	1	1	1	1	1
null	OG0007656	1	1	1	1	1	1	1	1	1	1	2
null	OG0007657	1	1	1	1	1	1	1	1	1	1	1
null	OG0007658	2	1	1	1	1	1	1	1	1	1	1
null	OG0007659	2	1	1	1	1	1	1	1	1	1	1
null	OG0007660	1	1	1	1	1	2	1	1	1	1	1
null	OG0007661	1	1	1	2	1	1	1	1	1	1	1
null	OG0007662	1	1	1	1	1	1	1	1	1	1	2
null	OG0007663	1	1	1	1	1	1	1	1	1	2	1
null	OG0007664	1	1	1	2	0	1	2	1	1	1	1
null	OG0007665	1	1	1	1	1	2	1	1	1	1	1
null	OG0007666	2	1	1	1	1	1	1	1	1	1	1
null	OG0007667	1	1	1	1	1	1	1	2	1	1	1
null	OG0007668	1	1	1	1	1	1	1	1	1	2	1
null	OG0007669	1	1	1	1	1	1	1	1	1	2	1
null	OG0007670	1	1	1	1	1	1	2	1	1	1	1
null	OG0007671	1	1	1	1	1	1	1	1	1	1	1
null	OG0007672	1	1	1	1	1	1	2	1	1	1	1
null	OG0007673	1	1	1	1	1	1	2	1	1	1	1
null	OG0007674	2	1	1	1	1	1	1	1	1	1	1
null	OG0007675	1	1	1	1	1	1	1	1	1	2	1
null	OG0007676	1	1	1	1	1	1	1	1	1	2	1
null	OG0007677	1	1	1	1	1	1	1	2	1	2	1
null	OG0007678	1	1	1	1	1	1	1	1	1	1	2
null	OG0007679	1	1	1	1	1	1	2	1	1	1	1
null	OG0007680	1	1	2	1	1	1	1	1	1	1	0
null	OG0007681	1	1	1	1	1	1	1	1	1	1	2
null	OG0007682	1	1	1	1	1	2	1	1	1	1	1
null	OG0007683	1	1	1	2	1	1	1	1	1	1	1
null	OG0007684	1	1	1	2	1	1	1	1	1	1	1
null	OG0007685	2	1	1	1	1	1	0	1	1	1	1
null	OG0007686	1	2	1	1	1	1	1	1	1	1	1
null	OG0007687	1	1	1	1	3	1	1	1	1	1	0
null	OG0007688	2	1	1	1	1	1	1	1	1	1	1
null	OG0007689	1	1	1	1	1	2	1	1	1	1	1
null	OG0007690	1	1	1	1	1	1	1	2	2	1	0
null	OG0007691	1	1	1	1	1	1	1	1	1	2	1
null	OG0007692	1	1	1	1	1	3	1	1	1	1	0
null	OG0007693	1	1	1	1	0	1	1	1	1	2	2
null	OG0007694	1	1	1	1	1	2	1	1	1	1	1
null	OG0007695	1	1	1	1	1	1	1	1	1	2	1
null	OG0007696	1	1	1	1	1	1	1	1	1	1	2
null	OG0007697	1	1	1	1	1	1	1	1	1	1	2
null	OG0007698	1	1	1	1	1	1	1	1	1	1	2
null	OG0007699	1	1	1	1	1	1	1	1	2	1	1
null	OG0007700	1	1	1	1	1	2	1	1	1	1	1
null	OG0007701	2	2	1	1	1	1	1	1	1	1	1
null	OG0007702	2	1	1	1	1	1	1	1	1	1	1
null	OG0007703	1	1	1	1	1	1	1	2	1	1	1
null	OG0007704	1	1	1	1	1	1	2	1	1	1	1
null	OG0007705	1	1	1	1	1	1	1	1	2	1	1
null	OG0007706	1	1	2	1	1	1	1	1	1	1	1
null	OG0007707	1	1	1	1	1	2	1	1	1	1	1
null	OG0007708	1	1	1	1	1	1	1	2	1	1	1
null	OG0007709	1	1	2	1	1	1	1	1	1	1	1
null	OG0007710	1	1	2	1	1	1	1	1	1	1	1
null	OG0007711	1	1	1	1	1	1	2	1	1	1	1
null	OG0007712	1	1	1	1	1	1	1	2	2	0	1
null	OG0007713	1	1	1	1	1	1	1	1	1	1	2
null	OG0007714	1	1	2	2	1	1	1	1	1	1	1
null	OG0007715	1	1	1	1	1	1	1	1	2	1	1
null	OG0007716	1	1	2	1	1	1	1	1	1	1	1
null	OG0007717	1	1	1	1	1	2	1	1	1	1	1
null	OG0007718	2	2	1	1	1	1	1	1	1	1	0
null	OG0007719	1	1	2	1	0	1	1	2	1	1	1
null	OG0007720	1	1	1	2	1	1	1	1	1	1	1
null	OG0007721	1	1	1	2	1	1	1	1	1	1	1
null	OG0007722	1	1	1	1	1	1	1	1	1	2	1
null	OG0007723	1	1	1	1	1	1	1	2	1	1	1
null	OG0007724	1	1	1	1	1	2	1	1	1	1	1
null	OG0007725	1	1	1	1	1	1	2	1	1	1	1
null	OG0007726	1	1	1	1	1	2	1	1	1	1	1
null	OG0007727	1	0	1	1	1	2	2	2	0	1	1
null	OG0007728	1	1	2	1	1	1	1	1	1	1	1
null	OG0007729	1	1	1	1	1	1	1	2	1	1	1
null	OG0007730	1	1	2	1	1	1	1	1	1	1	1
null	OG0007731	1	1	1	1	1	1	1	2	1	1	1
null	OG0007732	1	1	1	1	1	1	1	1	1	2	1
null	OG0007733	1	1	2	1	1	1	1	1	1	1	1
null	OG0007734	1	1	1	1	1	1	2	1	0	2	1
null	OG0007735	1	1	1	1	1	1	2	1	1	1	1
null	OG0007736	1	1	2	1	1	1	1	1	1	1	1
null	OG0007737	1	1	1	1	1	2	1	1	1	1	1
null	OG0007738	1	1	1	1	1	1	1	1	1	2	1
null	OG0007739	1	1	1	1	1	1	1	1	1	2	1
null	OG0007740	1	1	1	1	1	1	1	2	1	1	1
null	OG0007741	1	1	1	1	1	1	1	1	1	2	1
null	OG0007742	1	1	2	1	1	1	1	1	1	1	1
null	OG0007743	1	1	1	1	1	2	1	1	1	1	1
null	OG0007744	1	1	1	1	1	2	1	1	1	1	1
null	OG0007745	1	1	1	2	1	2	1	1	1	1	1
null	OG0007746	1	1	1	2	1	1	1	1	1	1	1
null	OG0007747	1	1	2	1	1	1	1	1	1	1	1
null	OG0007748	1	1	2	1	1	1	1	1	1	1	1
null	OG0007749	1	1	1	2	1	1	1	1	1	1	1
null	OG0007750	1	1	2	1	1	1	1	1	1	1	1
null	OG0007751	1	1	1	1	1	1	1	2	1	1	1
null	OG0007752	1	1	1	1	1	1	1	1	1	2	1
null	OG0007753	1	1	1	1	1	1	1	1	1	2	1
null	OG0007754	1	1	1	1	1	1	1	1	1	2	1
null	OG0007755	1	1	1	1	1	1	1	2	1	1	1
null	OG0007756	1	1	2	1	1	1	1	1	1	1	1
null	OG0007757	1	1	1	1	1	1	1	1	1	2	1
null	OG0007758	1	1	1	1	2	1	1	1	1	1	1
null	OG0007759	1	1	1	1	2	1	1	1	1	1	1
null	OG0007760	1	1	1	1	2	1	1	1	1	1	1
null	OG0007761	1	1	1	1	2	1	1	1	1	1	1
null	OG0007762	1	1	1	1	2	1	1	1	1	1	1
null	OG0007763	1	1	1	1	2	1	1	1	1	1	1
null	OG0007764	1	1	1	2	1	1	1	1	1	1	1
null	OG0007765	1	1	1	1	1	1	1	1	1	2	1
null	OG0007766	1	1	2	1	1	1	1	1	1	1	1
null	OG0007767	1	1	1	1	1	2	1	1	1	1	1
null	OG0007768	1	1	2	0	1	1	2	1	1	1	1
null	OG0007769	1	1	1	1	1	1	2	1	1	1	1
null	OG0007770	1	1	1	1	1	1	1	1	1	2	1
null	OG0007771	1	1	1	1	1	1	2	1	1	1	1
null	OG0007772	1	1	2	1	1	1	1	1	1	1	1
null	OG0007773	1	1	1	1	1	1	3	1	0	1	1
null	OG0007774	1	1	1	1	1	1	2	1	0	2	1
null	OG0007775	1	1	1	1	1	1	1	1	1	1	1
null	OG0007776	1	1	2	1	1	1	1	1	1	1	1
null	OG0007777	1	1	1	1	1	1	1	1	1	1	2
null	OG0007778	1	1	2	1	1	1	1	1	1	1	1
null	OG0007779	1	1	1	1	1	1	2	1	1	1	1
null	OG0007780	1	1	1	1	1	1	1	2	1	1	1
null	OG0007781	1	1	1	1	1	1	2	1	1	1	1
null	OG0007782	1	1	1	1	1	1	1	1	1	2	1
null	OG0007783	1	1	1	1	1	1	1	1	1	2	1
null	OG0007784	1	1	1	2	1	1	1	1	1	1	1
null	OG0007785	1	1	1	2	1	1	1	1	1	1	1
null	OG0007786	1	1	1	1	1	2	1	1	1	1	1
null	OG0007787	1	1	1	2	1	1	1	1	1	1	1
null	OG0007788	1	1	1	2	1	1	1	1	1	1	1
null	OG0007789	1	2	1	1	1	1	1	1	1	1	1
null	OG0007790	1	1	1	1	1	1	2	1	1	2	1
null	OG0007791	1	1	1	1	1	2	1	1	1	1	1
null	OG0007792	1	1	2	1	1	1	1	1	1	1	1
null	OG0007793	1	1	2	1	1	1	1	1	1	1	1
null	OG0007794	1	1	2	1	1	1	1	1	1	1	1
null	OG0007795	1	1	2	1	1	1	1	1	1	1	1
null	OG0007796	1	1	1	1	1	2	1	1	1	1	1
null	OG0007797	1	1	1	2	1	1	1	1	1	1	1
null	OG0007798	1	1	2	1	1	1	1	1	1	1	1
null	OG0007799	1	1	1	1	1	1	1	1	2	1	1
null	OG0007800	1	1	1	1	1	1	1	1	1	1	2
null	OG0007801	1	1	1	1	1	1	2	1	1	1	1
null	OG0007802	1	1	1	1	1	1	2	1	1	1	1
null	OG0007803	1	1	1	1	1	1	2	1	1	1	1
null	OG0007804	1	1	2	1	1	1	1	1	1	1	1
null	OG0007805	1	1	1	1	1	1	1	1	1	1	2
null	OG0007806	1	1	1	2	1	1	1	1	1	1	1
null	OG0007807	1	1	2	1	1	1	1	1	1	1	1
null	OG0007808	1	2	1	1	1	1	1	1	1	1	1
null	OG0007809	1	1	1	1	1	1	2	1	1	1	1
null	OG0007810	1	1	1	1	1	1	1	1	1	2	1
null	OG0007811	1	1	1	1	1	1	2	1	1	1	1
null	OG0007812	1	1	1	1	1	1	2	1	1	1	1
null	OG0007813	1	1	1	2	1	1	1	1	1	1	1
null	OG0007814	2	2	1	1	1	1	2	1	0	1	0
null	OG0007815	1	1	1	1	1	1	2	1	1	1	1
null	OG0007816	1	1	1	1	1	1	2	1	1	1	1
null	OG0007817	1	1	1	1	1	1	1	1	1	1	2
null	OG0007818	1	1	1	1	1	1	1	1	1	1	2
null	OG0007819	1	1	1	2	1	1	1	1	1	1	1
null	OG0007820	1	1	1	2	1	1	1	1	1	1	1
null	OG0007821	1	1	1	1	0	1	3	1	1	1	1
null	OG0007822	1	1	1	1	1	1	1	1	1	1	2
null	OG0007823	1	1	1	1	1	1	1	1	1	1	2
null	OG0007824	1	1	1	1	1	1	1	1	1	1	2
null	OG0007825	1	1	1	1	1	1	1	1	1	1	2
null	OG0007826	1	1	1	2	1	1	1	1	1	1	1
null	OG0007827	1	1	2	1	1	1	1	1	1	1	1
null	OG0007828	1	1	1	1	1	1	1	1	1	1	1
null	OG0007829	1	1	2	1	1	1	1	1	1	1	1
null	OG0007830	1	1	1	1	1	1	1	1	2	1	1
null	OG0007831	1	1	2	2	1	1	1	1	0	1	1
null	OG0007832	1	1	1	1	1	2	1	1	1	1	1
null	OG0007833	1	1	1	1	1	1	1	1	1	1	1
null	OG0007834	1	1	1	1	1	1	1	2	1	1	1
null	OG0007835	1	1	2	1	1	1	1	1	1	1	1
null	OG0007836	1	1	1	1	1	2	1	1	1	1	1
null	OG0007837	1	1	2	1	1	1	1	1	1	1	1
null	OG0007838	1	1	1	1	1	2	1	1	1	1	1
null	OG0007839	1	1	1	1	1	1	1	1	1	1	2
null	OG0007840	1	1	1	1	1	1	1	1	1	1	1
null	OG0007841	1	1	1	1	1	1	1	1	1	1	1
null	OG0007842	1	1	1	1	1	1	1	1	1	1	1
null	OG0007843	1	1	1	1	1	1	1	1	1	1	1
null	OG0007844	1	1	1	1	1	1	1	1	1	1	1
null	OG0007845	1	1	1	1	1	1	1	1	1	1	1
null	OG0007846	1	1	1	1	1	1	1	1	1	1	1
null	OG0007847	1	1	2	1	1	1	1	1	0	1	1
null	OG0007848	1	1	1	1	1	1	1	1	1	1	2
null	OG0007849	1	1	1	1	1	1	1	2	1	1	1
null	OG0007850	1	1	1	1	1	2	1	1	1	1	1
null	OG0007851	1	1	1	2	1	1	1	1	1	1	1
null	OG0007852	1	1	1	2	1	1	1	1	1	1	1
null	OG0007853	1	1	2	1	1	1	1	1	1	1	1
null	OG0007854	1	1	1	1	1	1	1	1	1	1	1
null	OG0007855	1	1	1	1	1	1	1	1	1	1	1
null	OG0007856	1	1	1	1	1	1	1	1	1	1	1
null	OG0007857	1	1	1	1	1	1	1	1	1	1	1
null	OG0007858	1	1	1	1	1	1	1	1	1	1	2
null	OG0007859	1	1	2	1	1	1	1	1	1	1	1
null	OG0007860	1	1	1	1	1	2	1	1	1	1	1
null	OG0007861	1	1	1	1	1	1	1	1	1	1	1
null	OG0007862	1	2	1	2	1	1	1	1	1	1	0
null	OG0007863	1	1	1	1	1	1	1	1	1	1	1
null	OG0007864	1	1	1	1	1	1	1	1	1	1	1
null	OG0007865	1	1	1	1	1	1	1	1	1	1	1
null	OG0007866	1	1	1	1	1	1	1	1	1	1	1
null	OG0007867	1	1	1	1	1	1	1	1	1	1	1
null	OG0007868	1	1	1	1	1	1	1	1	1	1	1
null	OG0007869	1	1	1	1	1	1	2	1	1	1	1
null	OG0007870	1	1	1	1	1	1	1	2	1	1	1
null	OG0007871	1	1	1	1	1	1	1	1	1	1	1
null	OG0007872	1	2	1	1	1	1	1	1	1	0	1
null	OG0007873	1	1	1	1	1	2	1	1	1	1	0
null	OG0007874	1	1	1	1	1	1	1	1	1	1	1
null	OG0007875	1	1	1	1	1	1	1	1	1	1	1
null	OG0007876	1	1	2	1	1	1	1	1	1	1	1
null	OG0007877	1	1	1	1	1	1	1	1	1	1	1
null	OG0007878	1	1	1	1	0	1	1	1	1	1	1
null	OG0007879	1	1	1	1	1	1	1	1	1	1	1
null	OG0007880	1	1	1	1	1	1	1	1	1	1	1
null	OG0007881	1	1	1	1	1	1	1	1	1	1	1
null	OG0007882	1	1	1	1	1	1	1	1	1	2	1
null	OG0007883	1	1	1	1	1	1	1	1	1	1	1
null	OG0007884	1	1	1	1	1	1	1	1	1	1	1
null	OG0007885	1	1	1	1	1	1	1	1	1	1	1
null	OG0007886	1	1	0	4	0	1	0	0	0	3	1
null	OG0007887	1	1	1	1	1	1	1	1	1	1	0
null	OG0007888	1	1	1	1	1	1	1	1	1	1	1
null	OG0007889	1	1	1	1	1	1	1	1	1	1	1
null	OG0007890	1	1	1	1	1	1	1	1	2	1	1
null	OG0007891	1	1	1	1	1	1	1	1	1	1	1
null	OG0007892	1	1	1	1	1	1	1	1	1	2	1
null	OG0007893	1	1	1	1	1	1	1	1	1	1	3
null	OG0007894	1	1	1	1	1	1	1	2	1	1	1
null	OG0007895	1	1	1	1	1	1	2	1	1	1	1
null	OG0007896	1	1	1	2	1	1	1	1	1	1	1
null	OG0007897	1	1	2	1	1	1	1	1	1	1	1
null	OG0007898	1	1	1	2	1	1	1	1	1	1	1
null	OG0007899	1	1	1	1	1	1	2	1	1	1	1
null	OG0007900	1	1	1	1	1	2	1	1	1	1	1
null	OG0007901	1	1	1	1	1	2	1	1	1	1	1
null	OG0007902	1	1	1	1	1	1	1	1	1	1	2
null	OG0007903	1	1	1	2	1	1	1	1	1	1	1
null	OG0007904	1	1	1	2	1	1	1	1	1	1	1
null	OG0007905	1	1	1	1	1	1	1	1	1	2	1
null	OG0007906	1	1	1	1	1	1	1	1	1	1	2
null	OG0007907	1	1	1	1	1	2	1	1	1	1	1
null	OG0007908	1	1	2	1	1	1	1	1	1	1	0
null	OG0007909	1	13	0	0	0	0	0	0	0	0	0
null	OG0007910	1	1	2	1	1	2	1	1	1	1	1
null	OG0007911	1	1	1	1	1	1	1	1	1	1	1
null	OG0007912	1	1	1	1	1	1	1	1	1	1	1
null	OG0007913	1	1	1	1	1	1	1	1	1	1	1
null	OG0007914	1	1	1	1	1	1	1	1	1	1	1
null	OG0007915	1	1	1	1	0	1	1	1	1	1	1
null	OG0007916	1	1	1	1	1	1	1	1	1	1	1
null	OG0007917	1	1	1	1	1	1	1	1	1	1	1
null	OG0007918	1	1	1	1	1	1	1	1	1	1	1
null	OG0007919	1	1	1	1	1	1	1	1	1	1	1
null	OG0007920	1	1	1	2	1	1	1	1	1	1	1
null	OG0007921	1	1	1	1	1	1	1	1	1	1	1
null	OG0007922	1	1	1	2	1	1	1	1	1	1	1
null	OG0007923	1	1	1	1	1	1	1	1	1	1	1
null	OG0007924	1	1	1	1	1	1	1	1	1	1	1
null	OG0007925	1	1	1	1	1	1	1	1	1	1	1
null	OG0007926	1	1	1	1	1	1	1	1	1	1	1
null	OG0007927	1	1	1	1	1	1	1	1	1	1	1
null	OG0007928	1	1	1	1	1	1	1	1	1	1	2
null	OG0007929	1	1	1	1	1	1	1	1	1	1	1
null	OG0007930	1	1	1	1	1	1	1	1	1	1	1
null	OG0007931	1	0	2	2	1	1	1	1	1	1	1
null	OG0007932	1	1	1	1	1	1	1	1	1	1	1
null	OG0007933	1	1	1	1	1	1	1	1	1	1	1
null	OG0007934	1	1	1	1	1	1	1	1	1	1	1
null	OG0007935	1	1	1	1	1	1	1	1	1	1	1
null	OG0007936	1	1	1	1	1	1	1	1	1	1	1
null	OG0007937	1	1	1	1	1	1	1	2	1	1	1
null	OG0007938	1	1	1	1	1	1	1	1	1	1	1
null	OG0007939	1	1	1	1	1	1	1	1	1	1	1
null	OG0007940	1	1	1	1	1	1	1	1	1	1	1
